================================================================
SUMMARY — async upsert against every published Intel V4 fmspc
TCB_EVALS=19,20,21
================================================================
| EVAL | TEE | FMSPC        | STATUS           | TX GAS                                                                                                                   |  WALL |
| 19   | SGX | 00A067110000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1764663, upload_tcb_levels_batch_3_6=1853276, upload_tcb_levels_batch_6_9=2107556, upload_tcb_levels_batch_9_12=2274911, upload_tcb_levels_batch_12_13=1192495, finalize_async_upsert=2832580 |   59s |
| 19   | SGX | 20806EB70000 | OK               | start_async_upsert=406725, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4580405 |   72s |
| 19   | SGX | 70A06D070000 | OK               | start_async_upsert=406725, upload_basic_info=493314, upload_tcb_levels_batch_0_2=1475426, finalize_async_upsert=1394051  |   30s |
| 19   | SGX | 50806F000000 | OK               | start_async_upsert=406713, upload_basic_info=493157, upload_tcb_levels_batch_0_3=2492883, upload_tcb_levels_batch_3_5=2279961, finalize_async_upsert=2141758 |   38s |
| 19   | SGX | 00706A100000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1743545, upload_tcb_levels_batch_3_6=2135634, upload_tcb_levels_batch_6_9=2581685, upload_tcb_levels_batch_9_12=3132376, finalize_async_upsert=2886792 |   51s |
| 19   | SGX | 30806F040000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2493886, upload_tcb_levels_batch_3_5=2302984, finalize_async_upsert=2145760 |   37s |
| 19   | SGX | 60A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2391566, finalize_async_upsert=1611355  |   30s |
| 19   | SGX | 20A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2391566, finalize_async_upsert=1609828  |   30s |
| 19   | SGX | 20906EC10000 | OK               | start_async_upsert=406677, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4573723 |   72s |
| 19   | SGX | 20606C040000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2773021, upload_tcb_levels_batch_9_12=2954945, upload_tcb_levels_batch_12_14=2512482, finalize_async_upsert=3929073 |   59s |
| 19   | SGX | 00706A800000 | OK               | start_async_upsert=406713, upload_basic_info=493157, upload_tcb_levels_batch_0_3=1658903, upload_tcb_levels_batch_3_6=1948403, upload_tcb_levels_batch_6_9=2494124, finalize_async_upsert=2210831 |   44s |
| 19   | SGX | 00906EC50000 | OK               | start_async_upsert=406725, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4574269 |   72s |
