================================================================
SUMMARY — async upsert against every published Intel V4 fmspc
TCB_EVALS=19,20,21
================================================================
| EVAL | TEE | FMSPC        | STATUS           | TX GAS                                                                                                                   |  WALL |
| 20   | TDX | 00A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=903217, upload_tcb_levels_batch_0_2=2393919, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2097790 |   37s |
| 21   | SGX | 00606C040000 | OK               | start_async_upsert=406713, upload_basic_info=493157, upload_tcb_levels_batch_0_3=2292860, upload_tcb_levels_batch_3_6=2467808, upload_tcb_levels_batch_6_9=2773009, upload_tcb_levels_batch_9_12=2954933, upload_tcb_levels_batch_12_15=3560586, finalize_async_upsert=4163249 |   58s |
| 21   | SGX | 00906EC10000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1143670, finalize_async_upsert=1260261  |   30s |
| 21   | SGX | 00806F050000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_6=3245759, finalize_async_upsert=2334824 |   37s |
| 21   | SGX | 00706E470000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1763946, upload_tcb_levels_batch_3_6=1909007, upload_tcb_levels_batch_6_9=2137254, upload_tcb_levels_batch_9_12=2339355, upload_tcb_levels_batch_12_15=2558938, finalize_async_upsert=3138594 |   58s |
| 21   | SGX | 00906EA10000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4807832 |   79s |
| 21   | SGX | 00906EA50000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4812128 |   79s |
| 21   | SGX | C0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_6=3021758, finalize_async_upsert=2305539 |   37s |
| 21   | SGX | 00A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1498420, finalize_async_upsert=1402006  |   30s |
| 21   | SGX | 00A06D080000 | OK               | start_async_upsert=406713, upload_basic_info=493334, upload_tcb_levels_batch_0_3=2334480, finalize_async_upsert=1600203  |   30s |
| 21   | SGX | 20A06E050000 | OK               | start_async_upsert=406713, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1498420, finalize_async_upsert=1400562  |   30s |
| 21   | SGX | 10A06F010000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_1=808936, finalize_async_upsert=1233376   |   30s |
| 21   | SGX | B0C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=493523, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_4=1323366, finalize_async_upsert=1884276 |   37s |
| 21   | SGX | 00606A000000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2687401, upload_tcb_levels_batch_9_12=2926379, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4135507 |   58s |
| 21   | SGX | 00806F000000 | OK               | start_async_upsert=406725, upload_basic_info=515049, upload_tcb_levels_batch_0_3=2380618, upload_tcb_levels_batch_3_6=3246776, finalize_async_upsert=2350993 |   37s |
| 21   | SGX | 00906ED50000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1882245, upload_tcb_levels_batch_3_6=2044756, upload_tcb_levels_batch_6_9=2304952, upload_tcb_levels_batch_9_12=2341214, upload_tcb_levels_batch_12_15=2635277, upload_tcb_levels_batch_15_18=2777495, upload_tcb_levels_batch_18_21=3079594, finalize_async_upsert=4394469 |   72s |
| 21   | SGX | F0806F000000 | OK               | start_async_upsert=406701, upload_basic_info=493334, upload_tcb_levels_batch_0_3=2380606, upload_tcb_levels_batch_3_6=2874791, finalize_async_upsert=2277613 |   37s |
| 21   | SGX | 00906EB10000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4802491 |   80s |
| 21   | SGX | 10A06D000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2334492, finalize_async_upsert=1606417  |   30s |
| 21   | SGX | 00806EB70000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1143670, finalize_async_upsert=1249227  |   30s |
| 21   | SGX | 00A065510000 | OK               | start_async_upsert=406713, upload_basic_info=493157, upload_tcb_levels_batch_0_3=1825778, upload_tcb_levels_batch_3_6=1960783, upload_tcb_levels_batch_6_9=2138203, upload_tcb_levels_batch_9_12=2363334, upload_tcb_levels_batch_12_14=1649681, finalize_async_upsert=2988957 |   58s |
| 21   | SGX | 20A06D080000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2335480, finalize_async_upsert=1605930  |   30s |
| 21   | SGX | 90806F000000 | OK               | start_async_upsert=406725, upload_basic_info=515049, upload_tcb_levels_batch_0_3=2380618, upload_tcb_levels_batch_3_6=3246776, finalize_async_upsert=2353819 |   37s |
| 21   | SGX | 30606A000000 | OK               | start_async_upsert=406701, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2687401, upload_tcb_levels_batch_9_12=2926379, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4146563 |   58s |
| 21   | SGX | 00A067110000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1764663, upload_tcb_levels_batch_3_6=1853276, upload_tcb_levels_batch_6_9=2107556, upload_tcb_levels_batch_9_12=2274911, upload_tcb_levels_batch_12_13=1192495, finalize_async_upsert=2826185 |   58s |
| 21   | SGX | 20806EB70000 | OK               | start_async_upsert=406725, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4582495 |   72s |
| 21   | SGX | 70A06D070000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2334492, finalize_async_upsert=1607658  |   29s |
| 21   | SGX | 50806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_6=3245759, finalize_async_upsert=2351393 |   37s |
| 21   | SGX | 00706A100000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1743545, upload_tcb_levels_batch_3_6=2135634, upload_tcb_levels_batch_6_9=2581685, upload_tcb_levels_batch_9_12=3132376, finalize_async_upsert=2890124 |   51s |
| 21   | SGX | 30806F040000 | OK               | start_async_upsert=406725, upload_basic_info=515049, upload_tcb_levels_batch_0_3=2380618, upload_tcb_levels_batch_3_6=3246776, finalize_async_upsert=2351729 |   37s |
| 21   | SGX | 60A06F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2437184, upload_tcb_levels_batch_3_4=965959, finalize_async_upsert=1827941 |   37s |
| 21   | SGX | 20A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2437184, upload_tcb_levels_batch_3_4=965959, finalize_async_upsert=1828359 |   37s |
| 21   | SGX | 20906EC10000 | OK               | start_async_upsert=406725, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4570550 |   73s |
| 21   | SGX | 20606C040000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2773021, upload_tcb_levels_batch_9_12=2954945, upload_tcb_levels_batch_12_14=2512482, finalize_async_upsert=3933824 |   58s |
| 21   | SGX | 00706A800000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1658915, upload_tcb_levels_batch_3_6=1948415, upload_tcb_levels_batch_6_9=2494136, finalize_async_upsert=2209354 |   44s |
| 21   | SGX | 00906EC50000 | OK               | start_async_upsert=406725, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4582486 |   72s |
| 21   | SGX | 00806EA60000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4809352 |   80s |
| 21   | SGX | 90C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_4=1323366, finalize_async_upsert=1892094 |   37s |
| 21   | TDX | 10A06F010000 | OK               | start_async_upsert=406725, upload_basic_info=902738, upload_tcb_levels_batch_0_1=1265885, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=1959685 |   37s |
| 21   | TDX | 60A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3965238, upload_tcb_levels_batch_3_4=1533320, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2949785 |   44s |
| 21   | TDX | 20A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=902738, upload_tcb_levels_batch_0_2=2393919, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2237637 |   37s |
| 21   | TDX | C0806F000000 | OK               | start_async_upsert=406701, upload_basic_info=902750, upload_tcb_levels_batch_0_3=4024800, upload_tcb_levels_batch_3_6=5030101, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=3784972 |   44s |
| 21   | TDX | 70A06D070000 | OK               | start_async_upsert=406713, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3859736, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2588678 |   37s |
| 21   | TDX | 20A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3860800, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2580940 |   37s |
| 21   | TDX | 10A06D000000 | OK               | start_async_upsert=406701, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3859736, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2593616 |   37s |
| 21   | TDX | 00806F050000 | OK               | start_async_upsert=406725, upload_basic_info=902573, upload_tcb_levels_batch_0_3=4024800, upload_tcb_levels_batch_3_6=5295219, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=3815473 |   44s |
| 21   | TDX | 20A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3965238, upload_tcb_levels_batch_3_4=1533320, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2940107 |   44s |
| 21   | TDX | 90C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3964950, upload_tcb_levels_batch_3_4=1962411, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=3036032 |   44s |
| 21   | TDX | 50806F000000 | OK               | start_async_upsert=406725, upload_basic_info=902573, upload_tcb_levels_batch_0_3=4024800, upload_tcb_levels_batch_3_6=5295219, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=3819485 |   44s |
| 21   | TDX | B0C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=902927, upload_tcb_levels_batch_0_3=3964950, upload_tcb_levels_batch_3_4=1962411, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=3031028 |   44s |
| 21   | TDX | 00A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3859736, upload_tdx_module_identities_batch_0_2=2086171, finalize_async_upsert=2591284 |   36s |
| 21   | TDX | 00A06E050000 | OK               | start_async_upsert=406713, upload_basic_info=902726, upload_tcb_levels_batch_0_2=2393907, upload_tdx_module_identities_batch_0_2=2086159, finalize_async_upsert=2233377 |   37s |

Passed: 151 / 153
Done.
